Jakarta,854
Jabar,672
Riau,583
Sumbar,270
NTT,252
Jatim,206
DIY,180
Jateng,179
Kepri,145
Sumsel,130
Kalbar,95
Babel,93
Bali,86
Jambi,78
Bengkulu,75
Lampung,75
Aceh,68
Sumut,64
Banten,55
Kaltim,52
Kalteng,49
Kaltara,34
NTB,29
Sulbar,22
Sulteng,14
Kalsel,12
Papbar,12
Maluku,5
Sulsel,4
Sulut,1
Sultra,0
Gorontalo,0
Malut,0
Papua,0
